11:45:37,-1,0,84,70,65,64,66,73,83,95,111,133,158,184,209,231,247,255,253,243,226,204,182,161,141,123,111,102,94,86;
11:45:37,-1,0,72,56,50,47,49,55,64,76,93,116,142,170,198,222,242,253,255,248,234,213,191,168,146,126,110,98,87,76;
11:45:37,-1,0,81,73,67,65,67,72,81,92,107,128,152,179,204,227,245,255,254,246,230,209,186,165,145,128,116,107,99,90;
11:45:37,-1,0,84,75,69,67,67,73,81,93,109,130,155,180,205,227,244,254,255,248,234,216,195,175,156,138,124,113,103,93;
11:45:37,-1,0,94,91,91,95,101,108,116,124,134,148,165,184,204,223,240,251,255,250,239,222,202,181,162,143,129,118,108,100;
11:45:37,-1,0,91,86,85,86,91,99,108,119,134,152,173,195,216,235,248,255,253,243,228,207,185,164,145,129,117,109,103,97;
11:45:37,-1,0,76,73,71,72,77,87,100,116,136,160,186,212,233,248,255,250,237,216,191,164,141,120,104,91,84,81,80,79;
11:45:37,-1,0,84,74,69,66,68,75,84,97,113,136,161,188,213,235,250,255,250,236,216,192,168,146,128,113,104,99,95,89;
11:45:37,-1,0,87,81,78,78,81,88,98,111,127,147,171,195,218,237,250,255,250,237,218,196,173,152,134,118,108,102,97,92;
11:45:37,-1,0,103,98,97,98,102,109,117,127,139,156,176,198,218,236,249,255,252,242,226,206,186,167,150,134,124,117,111,106;
11:45:37,-1,0,96,87,80,76,76,80,87,97,111,130,155,180,206,229,246,255,253,243,226,205,184,164,147,133,124,118,112,105;
11:45:37,-1,0,97,88,83,81,83,90,101,115,132,154,177,201,222,239,251,255,251,240,224,204,184,165,148,133,123,116,110,103;
11:45:37,-1,0,94,80,75,72,74,82,94,109,128,152,178,204,227,244,254,255,245,229,207,182,160,140,123,110,102,99,96,92;
11:45:37,-1,0,88,82,77,76,78,84,93,104,119,139,163,189,213,233,248,255,252,241,225,204,183,163,145,128,117,109,102,95;
11:45:37,-1,0,87,81,78,78,82,91,101,114,130,150,174,198,220,239,251,255,249,237,218,196,174,153,134,119,108,101,96,91;
11:45:37,-1,0,104,93,87,84,84,89,95,104,118,136,158,182,205,227,244,253,255,248,236,220,203,186,169,153,140,130,121,112;
11:45:37,-1,0,89,86,84,85,89,97,106,117,131,150,173,196,218,237,250,255,250,238,219,198,176,155,137,122,111,105,100,95;
11:45:37,-1,0,101,97,98,101,108,118,130,144,159,178,198,217,233,246,253,255,250,240,227,212,196,181,165,148,134,123,113,106;
11:45:37,-1,0,89,83,79,77,79,86,96,109,126,147,172,196,219,238,251,255,249,236,216,193,170,149,132,117,109,104,100,96;
11:45:37,-1,0,98,96,96,99,105,116,129,144,161,181,202,222,238,250,255,251,240,224,203,182,162,145,130,117,109,105,102,99;
11:45:37,-1,0,92,94,98,105,115,129,143,158,175,194,214,231,245,254,255,247,233,214,192,170,150,132,117,105,97,93,91,91;
11:45:37,-1,0,82,79,78,80,85,94,103,115,129,149,172,195,217,236,249,255,252,241,224,203,182,160,140,122,110,100,94,88;
11:45:37,-1,0,110,105,102,101,104,110,119,129,143,161,181,202,222,238,250,255,252,242,227,209,191,174,157,143,133,126,121,115;
11:45:37,-1,0,101,96,93,93,97,104,113,123,137,154,175,197,218,236,249,255,252,242,226,206,186,167,149,135,125,118,113,107;
11:45:37,-1,0,60,53,52,55,62,73,85,98,114,135,159,184,208,229,246,255,254,244,226,201,175,149,125,104,89,79,71,64;
11:45:37,-1,0,103,98,95,95,98,105,113,123,136,153,173,195,215,233,248,255,254,245,229,210,189,169,150,135,125,118,113,108;
11:45:37,-1,0,106,99,94,93,95,100,108,117,129,147,167,189,211,231,246,254,255,247,233,214,194,175,157,142,132,125,119,112;
11:45:37,-1,0,114,105,98,95,95,99,104,112,122,137,156,177,200,221,240,251,255,250,238,220,201,183,167,153,144,137,130,122;
11:45:37,-1,0,120,110,107,107,109,116,125,137,152,170,192,213,232,246,255,254,247,233,214,193,174,156,141,130,123,120,118,116;
11:45:37,-1,0,102,96,93,92,95,101,110,122,136,155,178,201,222,240,251,255,249,236,218,196,175,155,138,124,116,112,108,105;
11:45:37,-1,0,142,133,131,131,134,139,147,156,167,182,199,216,231,244,252,255,251,244,232,218,205,192,179,167,158,151,146,140;
11:45:37,-1,0,111,104,99,96,97,101,107,115,126,141,159,179,198,218,235,248,255,254,248,235,219,201,184,166,153,141,131,121;
